Restaurante Versalles,1,U1001
El Rincon De San Francisco,2,U1001
Restaurant El Muladar De Calzada,1,U1001
Restaurante La Gran Via,1,U1001
Restaurant De Mariscos De Picon,1,U1001
Restaurant Los Compadres,1,U1001
Tortas Locas Hipocampo,0,U1001
Puesto De Tacos,2,U1001
Rincon Huasteco,1,U1001
Tortas Locas Hipocampo,1,U1002
El Pueblito,1,U1002
Luna Cafe,2,U1002
Restaurant Bar Hacienda Los Martinez,1,U1002
La Posada Del Virrey,2,U1002
La Cantina Restaurante,1,U1002
Puesto De Tacos,2,U1002
El Rincón De San Francisco,1,U1002
Restaurante El Cielo Potosino,1,U1002
Crudalia,2,U1002
Restaurant Bar Hacienda Los Martinez,2,U1003
Cabana Huasteca,2,U1003
Koye Sushi,2,U1003
Los Toneles,2,U1003
La Estrella De Dimas,2,U1003
Gordas De Morales,2,U1003
Cafe Punta Del Cielo,2,U1003
Rockabilly,2,U1003
Luna Cafe,0,U1003
La Posada Del Virrey,1,U1003
Mariscos El Pescador,2,U1003
Puesto De Tacos,2,U1003
Restaurante El Chivero S.A. De C.V.,0,U1003
Tacos Los Volcanes,2,U1004
Emilianos,2,U1004
La Parroquia,2,U1004
Cafeteria Y Restaurant El Pacifico,2,U1004
Restaurante El Cielo Potosino,2,U1004
El Rincón De San Francisco,2,U1004
La Virreina,2,U1004
Restaurante Marisco Sam,1,U1004
Cafeteria Y Restaurant El Pacifico,2,U1005
Restaurant Oriental Express,2,U1005
Pizza Clasica,0,U1005
El Herradero Restaurante And Bar,1,U1005
Luna Cafe,1,U1005
Restaurante Guerra,2,U1005
Rincon Huasteco,1,U1005
Restaurante Pueblo Bonito,2,U1005
Restaurante La Estrella De Dima,1,U1005
Dairy Queen,2,U1006
Preambulo Wifi Zone Cafe,1,U1006
Restaurante Bar Fu-Hao,1,U1006
Puesto De Tacos,1,U1006
Mariscos El Pescador,1,U1006
Cafe Chaires,1,U1006
Cafe Punta Del Cielo,2,U1006
La Cantina,2,U1006
Shi Ro Ie,2,U1006
Koye Sushi,1,U1006
La Parroquia,1,U1006
Restaurant La Chalita,1,U1007
Cafe Chaires,1,U1007
McDonalds Parque Tangamanga,0,U1007
Cafeteria Y Restaurant El Pacifico,1,U1007
El Rincon De San Francisco,1,U1007
Tortas Locas Hipocampo,1,U1007
Restaurante Tiberius,1,U1007
El Herradero Restaurante And Bar,1,U1007
Potzocalli,1,U1007
Restaurante Y Pescaderia Tampico,1,U1008
El Lechon Potosino,1,U1008
Abondance Restaurante Bar,1,U1008
Dominos Pizza,1,U1008
KFC,1,U1008
Potzocalli,1,U1008
Sirlone,2,U1008
Hamburguesas Valle Dorado,1,U1008
Chaires,1,U1008
Koye Sushi,1,U1009
Restaurante Alhondiga,0,U1009
La Cantina Restaurante,2,U1009
Puesto De Tacos,1,U1009
